brand_name,model_name,variant_name,variant_url,status_code,ok
Audi,New A3,Premium 35 TFSi,https://www.carwale.com/audi-cars/new-a3/premium-35-tfsi/,200,True
Audi,New A3,Premium Plus 35 TFSi,https://www.carwale.com/audi-cars/new-a3/premium-plus-35-tfsi/,200,True
Audi,New A3,Standard 35 TFSi,https://www.carwale.com/audi-cars/new-a3/standard-35-tfsi/,200,True
Audi,New A3,Technology 35 TFSi,https://www.carwale.com/audi-cars/new-a3/technology-35-tfsi/,200,True
Audi,S6,4.0 TFSI,https://www.carwale.com/audi-cars/s6/40-tfsi/,200,True
Audi,S6,4.0 TFSI [2013-2016],https://www.carwale.com/audi-cars/s6/40-tfsi-2013-2016/,200,True
Audi,R8,5.2 V10,https://www.carwale.com/audi-cars/r8/52-v10/,200,True
Audi,R8,5.2 V10 Plus,https://www.carwale.com/audi-cars/r8/52-v10-plus/,200,True
Audi,Tt,45 TFSI,https://www.carwale.com/audi-cars/tt/45-tfsi/,200,True
Audi,Q2,Premium 40 TFSI quattro,https://www.carwale.com/audi-cars/q2/premium-40-tfsi-quattro/,200,True
Audi,Q2,Premium Plus I 40 TFSI quattro,https://www.carwale.com/audi-cars/q2/premium-plus-i-40-tfsi-quattro/,200,True
Audi,Q2,Premium Plus II 40 TFSI quattro,https://www.carwale.com/audi-cars/q2/premium-plus-ii-40-tfsi-quattro/,200,True
Audi,Q2,Standard 40 TFSI quattro,https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro/,200,True
Audi,Q2,Standard 40 TFSI quattro With Sunroof,https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro-with-sunroof/,200,True
Audi,Q2,Technology 40 TFSI quattro,https://www.carwale.com/audi-cars/q2/technology-40-tfsi-quattro/,200,True
BMW,2 Series Gran Coupe,218 M Sport,https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport/,200,True
BMW,2 Series Gran Coupe,218 M Sport Pro,https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport-pro/,200,True
BMW,M4,CS,https://www.carwale.com/bmw-cars/m4/cs/,200,True
BMW,M4,Competition,https://www.carwale.com/bmw-cars/m4/competition/,200,True
BMW,3 Series,320Ld M Sport,https://www.carwale.com/bmw-cars/3-series/320ld-m-sport/,200,True
BMW,3 Series,320Ld M Sport Pro,https://www.carwale.com/bmw-cars/3-series/320ld-m-sport-pro/,200,True
BMW,3 Series,330Li M Sport,https://www.carwale.com/bmw-cars/3-series/330li-m-sport/,200,True
BMW,3 Series,50 Jahre Edition,https://www.carwale.com/bmw-cars/3-series/50-jahre-edition/,200,True
BMW,M340I,50 Jahre Edition,https://www.carwale.com/bmw-cars/m340i/50-jahre-edition/,200,True
BMW,M340I,xDrive,https://www.carwale.com/bmw-cars/m340i/xdrive/,200,True
BMW,M340I,xDrive Shadow Edition,https://www.carwale.com/bmw-cars/m340i/xdrive-shadow-edition/,200,True
BMW,M340I,xDrive [2022-2023],https://www.carwale.com/bmw-cars/m340i/xdrive-2022-2023/,200,True
BMW,X1,sDrive18d M Sport,https://www.carwale.com/bmw-cars/x1/sdrive18d-m-sport/,200,True
BMW,X1,sDrive18i M Sport,https://www.carwale.com/bmw-cars/x1/sdrive18i-m-sport/,200,True
BMW,M5,Competition,https://www.carwale.com/bmw-cars/m5/competition/,200,True
BMW,X7,Signature Edition,https://www.carwale.com/bmw-cars/x7/signature-edition/,200,True
BMW,X7,xDrive40d DPE 7 Seater,https://www.carwale.com/bmw-cars/x7/xdrive40d-dpe-7-seater/,200,True
BMW,X7,xDrive40d DPE 7 Seater [2024-2025],https://www.carwale.com/bmw-cars/x7/xdrive40d-dpe-7-seater-2024-2025/,200,True
BMW,X7,xDrive40d M Sport,https://www.carwale.com/bmw-cars/x7/xdrive40d-m-sport/,200,True
BMW,X7,xDrive40d M Sport Pro,https://www.carwale.com/bmw-cars/x7/xdrive40d-m-sport-pro/,200,True
BMW,X7,xDrive40i M Sport,https://www.carwale.com/bmw-cars/x7/xdrive40i-m-sport/,200,True
BMW,X5,xDrive30d M Sport,https://www.carwale.com/bmw-cars/x5/xdrive30d-m-sport/,200,True
BMW,X5,xDrive30d M Sport Pro,https://www.carwale.com/bmw-cars/x5/xdrive30d-m-sport-pro/,200,True
BMW,X5,xDrive30d xLine,https://www.carwale.com/bmw-cars/x5/xdrive30d-xline/,200,True
BMW,X5,xDrive40i M Sport Pro,https://www.carwale.com/bmw-cars/x5/xdrive40i-m-sport-pro/,200,True
BMW,X5,xDrive40i xLine,https://www.carwale.com/bmw-cars/x5/xdrive40i-xline/,200,True
BMW,X3,xDrive 30 M Sport Pro Petrol 2.0L Turbo Automatic,https://www.carwale.com/bmw-cars/x3/xdrive-30-m-sport-pro-petrol-20l-turbo-automatic/,200,True
BMW,X3,xDrive20 Petrol 2.0L Turbo Automatic,https://www.carwale.com/bmw-cars/x3/xdrive20-petrol-20l-turbo-automatic/,200,True
BMW,X3,xDrive20d Diesel 2.0L Turbo Automatic,https://www.carwale.com/bmw-cars/x3/xdrive20d-diesel-20l-turbo-automatic/,200,True
BMW,Z4,M 40i,https://www.carwale.com/bmw-cars/z4/m-40i/,200,True
BMW,Z4,M 40i Pure Impulse MT,https://www.carwale.com/bmw-cars/z4/m-40i-pure-impulse-mt/,200,True
BMW,7 Series,740d M Sport,https://www.carwale.com/bmw-cars/7-series/740d-m-sport/,200,True
BMW,7 Series,740i M Sport,https://www.carwale.com/bmw-cars/7-series/740i-m-sport/,200,True
BMW,7 Series,740i [2023],https://www.carwale.com/bmw-cars/7-series/740i-2023/,200,True
BMW,M440I,xDrive Convertible Petrol Turbo Automatic,https://www.carwale.com/bmw-cars/m440i/xdrive-convertible-petrol-turbo-automatic/,200,True
BMW,Ix1 Lwb,eDrive20L M Sport,https://www.carwale.com/bmw-cars/ix1-lwb/edrive20l-m-sport/,200,True
BMW,M2,3.0 Petrol Petrol Turbo Automatic,https://www.carwale.com/bmw-cars/m2/30-petrol-petrol-turbo-automatic/,200,True
BMW,M2,3.0 Petrol Petrol Turbo Manual,https://www.carwale.com/bmw-cars/m2/30-petrol-petrol-turbo-manual/,200,True
BMW,M2,3.0 Petrol [2023-2024],https://www.carwale.com/bmw-cars/m2/30-petrol-2023-2024/,200,True
BMW,M2,CS Petrol Turbo Automatic,https://www.carwale.com/bmw-cars/m2/cs-petrol-turbo-automatic/,200,True
BMW,5 Series,530Li Petrol 2.0L Turbo Automatic,https://www.carwale.com/bmw-cars/5-series/530li-petrol-20l-turbo-automatic/,200,True
BMW,5 Series,530Li Petrol 2.0L Turbo Automatic Aluminium Satinated,https://www.carwale.com/bmw-cars/5-series/530li-petrol-20l-turbo-automatic-aluminium-satinated/,200,True
BMW,Ix1,xDrive30 M Sport,https://www.carwale.com/bmw-cars/ix1/xdrive30-m-sport/,200,True
BMW,Xm,Label,https://www.carwale.com/bmw-cars/xm/label/,200,True
BMW,Xm,Plug-in Hybrid,https://www.carwale.com/bmw-cars/xm/plug-in-hybrid/,200,True
BMW,M8,Coupe,https://www.carwale.com/bmw-cars/m8/coupe/,200,True
BMW,M8,Coupe [2020-2023],https://www.carwale.com/bmw-cars/m8/coupe-2020-2023/,200,True
BMW,I7,M70 xDrive,https://www.carwale.com/bmw-cars/i7/m70-xdrive/,200,True
BMW,I7,eDrive50 M Sport,https://www.carwale.com/bmw-cars/i7/edrive50-m-sport/,200,True
BMW,I7,xDrive60 M Sport,https://www.carwale.com/bmw-cars/i7/xdrive60-m-sport/,200,True
BMW,I4,eDrive35 M Sport,https://www.carwale.com/bmw-cars/i4/edrive35-m-sport/,200,True
BMW,I4,eDrive40 M Sport,https://www.carwale.com/bmw-cars/i4/edrive40-m-sport/,200,True
BMW,X4,xDrive,https://www.carwale.com/bmw-cars/x4/xdrive/,200,True
BMW,Ix,xDrive 40,https://www.carwale.com/bmw-cars/ix/xdrive-40/,200,True
BMW,Ix,xDrive 50,https://www.carwale.com/bmw-cars/ix/xdrive-50/,200,True
BMW,I5,M60 xDrive,https://www.carwale.com/bmw-cars/i5/m60-xdrive/,200,True
BMW,3 Series Gran Limousine,320Ld M Sport,https://www.carwale.com/bmw-cars/3-series-gran-limousine/320ld-m-sport/,200,True
BMW,3 Series Gran Limousine,320Ld M Sport Pro Edition,https://www.carwale.com/bmw-cars/3-series-gran-limousine/320ld-m-sport-pro-edition/,200,True
BMW,3 Series Gran Limousine,320Ld M Sport [2023],https://www.carwale.com/bmw-cars/3-series-gran-limousine/320ld-m-sport-2023/,200,True
BMW,3 Series Gran Limousine,330Li M Sport,https://www.carwale.com/bmw-cars/3-series-gran-limousine/330li-m-sport/,200,True
BMW,3 Series Gran Limousine,330Li M Sport Pro Edition,https://www.carwale.com/bmw-cars/3-series-gran-limousine/330li-m-sport-pro-edition/,200,True
BMW,3 Series Gran Limousine,330Li M Sport [2023],https://www.carwale.com/bmw-cars/3-series-gran-limousine/330li-m-sport-2023/,200,True
BMW,1 Series,116i Hatchback,https://www.carwale.com/bmw-cars/1-series/116i-hatchback/,200,True
BMW,1 Series,118d Hatchback,https://www.carwale.com/bmw-cars/1-series/118d-hatchback/,200,True
BMW,1 Series,118d Sport Line [2013-2017],https://www.carwale.com/bmw-cars/1-series/118d-sport-line-2013-2017/,200,True
BMW,1 Series,118d Sport plus,https://www.carwale.com/bmw-cars/1-series/118d-sport-plus/,200,True
BMW,1 Series,118i Hatchback,https://www.carwale.com/bmw-cars/1-series/118i-hatchback/,200,True
BMW,6 Series Gran Coupe,640d Design Pure Experience,https://www.carwale.com/bmw-cars/6-series-gran-coupe/640d-design-pure-experience/,200,True
BMW,6 Series Gran Coupe,640d Eminence,https://www.carwale.com/bmw-cars/6-series-gran-coupe/640d-eminence/,200,True
BMW,6 Series Gran Coupe,640d Gran Coupe,https://www.carwale.com/bmw-cars/6-series-gran-coupe/640d-gran-coupe/,200,True
BMW,M3,Sedan,https://www.carwale.com/bmw-cars/m3/sedan/,200,True
BMW,Z3,Roadster,https://www.carwale.com/bmw-cars/z3/roadster/,200,True
BMW,X6,50 Jahre M Edition,https://www.carwale.com/bmw-cars/x6/50-jahre-m-edition/,200,True
BMW,X6,50 Jahre M Edition [2020-2023],https://www.carwale.com/bmw-cars/x6/50-jahre-m-edition-2020-2023/,200,True
BMW,X6,xDrive40i M Sport,https://www.carwale.com/bmw-cars/x6/xdrive40i-m-sport/,200,True
BMW,X6,xDrive40i M Sport [2020-2023],https://www.carwale.com/bmw-cars/x6/xdrive40i-m-sport-2020-2023/,200,True
BMW,X6,xDrive40i xLine,https://www.carwale.com/bmw-cars/x6/xdrive40i-xline/,200,True
BMW,X6,xDrive40i xLine [2020-2023],https://www.carwale.com/bmw-cars/x6/xdrive40i-xline-2020-2023/,200,True
BMW,M6,Gran Coupe,https://www.carwale.com/bmw-cars/m6/gran-coupe/,200,True
BMW,M6,Gran Coupe [2014-2015],https://www.carwale.com/bmw-cars/m6/gran-coupe-2014-2015/,200,True
BMW,6 Series Gt,620d Luxury Line,https://www.carwale.com/bmw-cars/6-series-gt/620d-luxury-line/,200,True
BMW,6 Series Gt,620d M Sport,https://www.carwale.com/bmw-cars/6-series-gt/620d-m-sport/,200,True
BMW,6 Series Gt,620d M Sport Signature,https://www.carwale.com/bmw-cars/6-series-gt/620d-m-sport-signature/,200,True
BMW,6 Series Gt,630d M Sport,https://www.carwale.com/bmw-cars/6-series-gt/630d-m-sport/,200,True
BMW,6 Series Gt,630i M Sport,https://www.carwale.com/bmw-cars/6-series-gt/630i-m-sport/,200,True
BMW,6 Series Gt,630i M Sport 50 Jahre M Edition,https://www.carwale.com/bmw-cars/6-series-gt/630i-m-sport-50-jahre-m-edition/,200,True
BMW,6 Series Gt,630i M Sport Signature,https://www.carwale.com/bmw-cars/6-series-gt/630i-m-sport-signature/,200,True
BMW,6 Series Gt,630i M Sport [2021-2023],https://www.carwale.com/bmw-cars/6-series-gt/630i-m-sport-2021-2023/,200,True
BMW,8 Series,840i Gran Coupe,https://www.carwale.com/bmw-cars/8-series/840i-gran-coupe/,200,True
BMW,8 Series,840i M Sport,https://www.carwale.com/bmw-cars/8-series/840i-m-sport/,200,True
BMW,8 Series,840i M Sport Edition,https://www.carwale.com/bmw-cars/8-series/840i-m-sport-edition/,200,True
BMW,X3 M,Petrol,https://www.carwale.com/bmw-cars/x3-m/petrol/,200,True
BMW,X5 M,Competition,https://www.carwale.com/bmw-cars/x5-m/competition/,200,True
BMW,X5 M,Competition [2020-2023],https://www.carwale.com/bmw-cars/x5-m/competition-2020-2023/,200,True
BMW,X3 M40I,xDrive,https://www.carwale.com/bmw-cars/x3-m40i/xdrive/,200,True
BYD,Atto 3,Dynamic,https://www.carwale.com/byd-cars/atto-3/dynamic/,200,True
BYD,Atto 3,Dynamic [2024-2025],https://www.carwale.com/byd-cars/atto-3/dynamic-2024-2025/,200,True
BYD,Atto 3,Premium,https://www.carwale.com/byd-cars/atto-3/premium/,200,True
BYD,Atto 3,Special Edition,https://www.carwale.com/byd-cars/atto-3/special-edition/,200,True
BYD,Atto 3,Superior,https://www.carwale.com/byd-cars/atto-3/superior/,200,True
BYD,Sealion 7,Anniversary Edition AWD 82.6 kWh,https://www.carwale.com/byd-cars/sealion-7/anniversary-edition-awd-826-kwh/,200,True
BYD,Sealion 7,Performance AWD 82.6 kWh,https://www.carwale.com/byd-cars/sealion-7/performance-awd-826-kwh/,200,True
BYD,Sealion 7,Premium 2WD 82.6 kWh,https://www.carwale.com/byd-cars/sealion-7/premium-2wd-826-kwh/,200,True
BYD,Seal,Dynamic,https://www.carwale.com/byd-cars/seal/dynamic/,200,True
BYD,Seal,Performance,https://www.carwale.com/byd-cars/seal/performance/,200,True
BYD,Seal,Premium,https://www.carwale.com/byd-cars/seal/premium/,200,True
BYD,Seal,Premium [2024-2025],https://www.carwale.com/byd-cars/seal/premium-2024-2025/,200,True
BYD,Emax 7,Premium 6 STR,https://www.carwale.com/byd-cars/emax-7/premium-6-str/,200,True
BYD,Emax 7,Premium 7 STR,https://www.carwale.com/byd-cars/emax-7/premium-7-str/,200,True
BYD,Emax 7,Superior 6 STR,https://www.carwale.com/byd-cars/emax-7/superior-6-str/,200,True
BYD,Emax 7,Superior 7 STR,https://www.carwale.com/byd-cars/emax-7/superior-7-str/,200,True
BYD,Seal U Dm I,Performance Plug-in Hybrid (Electric + Petrol) Turbo Automatic,https://www.carwale.com/byd-cars/seal-u-dm-i/performance-plug-in-hybrid-electric-petrol-turbo-automatic/,404,False
BYD,E6,GL,https://www.carwale.com/byd-cars/e6/gl/,200,True
Bentley,Bentayga,EWB,https://www.carwale.com/bentley-cars/bentayga/ewb/,200,True
Bentley,Bentayga,V8 Petrol,https://www.carwale.com/bentley-cars/bentayga/v8-petrol/,200,True
Bentley,Arnage,R,https://www.carwale.com/bentley-cars/arnage/r/,200,True
Bentley,Arnage,RL,https://www.carwale.com/bentley-cars/arnage/rl/,200,True
Bentley,Continentalgtc,Convertible,https://www.carwale.com/bentley-cars/continentalgtc/convertible/,200,True
Bentley,Continentalgtc,Speed,https://www.carwale.com/bentley-cars/continentalgtc/speed/,200,True
Bentley,Continentalgtc,V8,https://www.carwale.com/bentley-cars/continentalgtc/v8/,200,True
Bentley,Continentalgtc,V8S,https://www.carwale.com/bentley-cars/continentalgtc/v8s/,200,True
Bentley,Azure,Convertible,https://www.carwale.com/bentley-cars/azure/convertible/,200,True
Bentley,Mulsanne,V8,https://www.carwale.com/bentley-cars/mulsanne/v8/,200,True
Bentley,Continentalsupersports,Convertible,https://www.carwale.com/bentley-cars/continentalsupersports/convertible/,200,True
Citroen,C3 X,Feel (O) CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/feel-o-cng-12l-5-speed-manual/,200,True
Citroen,C3 X,Feel (O) Petrol 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/feel-o-petrol-12l-5-speed-manual/,200,True
Citroen,C3 X,Feel CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/feel-cng-12l-5-speed-manual/,200,True
Citroen,C3 X,Feel Petrol 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/feel-petrol-12l-5-speed-manual/,200,True
Citroen,C3 X,Live (O) Petrol 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/live-o-petrol-12l-5-speed-manual/,200,True
Citroen,C3 X,Live CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/live-cng-12l-5-speed-manual/,200,True
Citroen,C3 X,Live Petrol 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/live-petrol-12l-5-speed-manual/,200,True
