brand_slug,brand_name,model_slug,model_name,model_url,model_source
bmw,BMW,3-series-gran-limousine,3 Series Gran Limousine,https://www.carwale.com/bmw-cars/3-series-gran-limousine/,carwale
bmw,BMW,1-series,1 Series,https://www.carwale.com/bmw-cars/1-series/,carwale
bmw,BMW,6-series-gran-coupe,6 Series Gran Coupe,https://www.carwale.com/bmw-cars/6-series-gran-coupe/,carwale
bmw,BMW,m3,M3,https://www.carwale.com/bmw-cars/m3/,carwale
bmw,BMW,z3,Z3,https://www.carwale.com/bmw-cars/z3/,carwale
bmw,BMW,x6,X6,https://www.carwale.com/bmw-cars/x6/,carwale
bmw,BMW,m6,M6,https://www.carwale.com/bmw-cars/m6/,carwale
bmw,BMW,6-series-gt,6 Series Gt,https://www.carwale.com/bmw-cars/6-series-gt/,carwale
bmw,BMW,8-series,8 Series,https://www.carwale.com/bmw-cars/8-series/,carwale
bmw,BMW,x8,X8,https://www.carwale.com/bmw-cars/x8/,carwale
bmw,BMW,x3-m,X3 M,https://www.carwale.com/bmw-cars/x3-m/,carwale
bmw,BMW,x5-m,X5 M,https://www.carwale.com/bmw-cars/x5-m/,carwale
bmw,BMW,x3-m40i,X3 M40I,https://www.carwale.com/bmw-cars/x3-m40i/,carwale
bmw,BMW,m4-cs,M4 Cs,https://www.carwale.com/bmw-cars/m4-cs/,carwale
byd,BYD,atto-3,Atto 3,https://www.carwale.com/byd-cars/atto-3/,carwale
byd,BYD,sealion-7,Sealion 7,https://www.carwale.com/byd-cars/sealion-7/,carwale
byd,BYD,seal,Seal,https://www.carwale.com/byd-cars/seal/,carwale
byd,BYD,emax-7,Emax 7,https://www.carwale.com/byd-cars/emax-7/,carwale
byd,BYD,atto-2,Atto 2,https://www.carwale.com/byd-cars/atto-2/,carwale
byd,BYD,seal-u-dm-i,Seal U Dm I,https://www.carwale.com/byd-cars/seal-u-dm-i/,carwale
byd,BYD,e6,E6,https://www.carwale.com/byd-cars/e6/,carwale
bentley,Bentley,bentayga,Bentayga,https://www.carwale.com/bentley-cars/bentayga/,carwale
bentley,Bentley,arnage,Arnage,https://www.carwale.com/bentley-cars/arnage/,carwale
bentley,Bentley,continentalgtc,Continentalgtc,https://www.carwale.com/bentley-cars/continentalgtc/,carwale
bentley,Bentley,azure,Azure,https://www.carwale.com/bentley-cars/azure/,carwale
bentley,Bentley,mulsanne,Mulsanne,https://www.carwale.com/bentley-cars/mulsanne/,carwale
bentley,Bentley,continentalsupersports,Continentalsupersports,https://www.carwale.com/bentley-cars/continentalsupersports/,carwale
citroen,Citroen,c3-x,C3 X,https://www.carwale.com/citroen-cars/c3-x/,carwale
citroen,Citroen,aircross-x,Aircross X,https://www.carwale.com/citroen-cars/aircross-x/,carwale
