brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,source_url,scraped_at
Tata,Harrier,Fearless Ultra Diesel 2.0L Turbo Manual,fearless-ultra-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-ultra-diesel-20l-turbo-manual/,Rs. 26.97 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-ultra-diesel-20l-turbo-manual/,2026-06-17 21:45:55
Tata,Harrier,Fearless Ultra Petrol 1.5L Turbo Automatic,fearless-ultra-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-ultra-petrol-15l-turbo-automatic/,Rs. 26.97 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-ultra-petrol-15l-turbo-automatic/,2026-06-17 21:45:59
Tata,Harrier,Fearless Ultra Petrol 1.5L Turbo Manual,fearless-ultra-petrol-15l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-ultra-petrol-15l-turbo-manual/,Rs. 26.97 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-ultra-petrol-15l-turbo-manual/,2026-06-17 21:46:03
Tata,Harrier,Fearless Ultra Red Dark Diesel 2.0L Turbo Automatic,fearless-ultra-red-dark-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-diesel-20l-turbo-automatic/,Rs. 27.51 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-diesel-20l-turbo-automatic/,2026-06-17 21:46:07
Tata,Harrier,Fearless Ultra Red Dark Diesel 2.0L Turbo Manual,fearless-ultra-red-dark-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-diesel-20l-turbo-manual/,Rs. 27.51 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-diesel-20l-turbo-manual/,2026-06-17 21:46:11
Tata,Harrier,Fearless Ultra Red Dark Petrol 1.5L Turbo Automatic,fearless-ultra-red-dark-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-petrol-15l-turbo-automatic/,Rs. 27.51 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-petrol-15l-turbo-automatic/,2026-06-17 21:46:15
Tata,Harrier,Fearless Ultra Red Dark Petrol 1.5L Turbo Manual,fearless-ultra-red-dark-petrol-15l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-petrol-15l-turbo-manual/,Rs. 27.51 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-ultra-red-dark-petrol-15l-turbo-manual/,2026-06-17 21:46:19
Tata,Harrier,Fearless X Dark Edition Diesel 2.0L Turbo Automatic,fearless-x-dark-edition-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-diesel-20l-turbo-automatic/,Rs. 24.55 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-diesel-20l-turbo-automatic/,2026-06-17 21:46:23
Tata,Harrier,Fearless X Dark Edition Diesel 2.0L Turbo Manual,fearless-x-dark-edition-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-diesel-20l-turbo-manual/,Rs. 24.55 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-diesel-20l-turbo-manual/,2026-06-17 21:46:27
Tata,Harrier,Fearless X Dark Edition Petrol 1.5L Turbo Automatic,fearless-x-dark-edition-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-petrol-15l-turbo-automatic/,Rs. 24.55 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-petrol-15l-turbo-automatic/,2026-06-17 21:46:31
