brand_slug,brand_name,model_slug,model_name,variant_slug,variant_name,variant_url
audi,Audi,e-tron,E Tron,55,55,https://www.carwale.com/audi-cars/e-tron/55/
audi,Audi,e-tron,E Tron,55-technology,55 Technology,https://www.carwale.com/audi-cars/e-tron/55-technology/
audi,Audi,e-tron,E Tron,range,Range,https://www.carwale.com/audi-cars/e-tron/range/
audi,Audi,q8-e-tron,Q8 E Tron,50,50,https://www.carwale.com/audi-cars/q8-e-tron/50/
audi,Audi,q8-e-tron,Q8 E Tron,55,55,https://www.carwale.com/audi-cars/q8-e-tron/55/
audi,Audi,q8-e-tron,Q8 E Tron,range,Range,https://www.carwale.com/audi-cars/q8-e-tron/range/
audi,Audi,q8-sportback-e-tron,Q8 Sportback E Tron,50,50,https://www.carwale.com/audi-cars/q8-sportback-e-tron/50/
audi,Audi,q8-sportback-e-tron,Q8 Sportback E Tron,55,55,https://www.carwale.com/audi-cars/q8-sportback-e-tron/55/
audi,Audi,rs-q8-2020-2025,Rs Q8 2020 2025,40l-tfsi-2020-2024,40L Tfsi 2020 2024,https://www.carwale.com/audi-cars/rs-q8-2020-2025/40l-tfsi-2020-2024/
audi,Audi,rs-q8-2020-2025,Rs Q8 2020 2025,40l-tfsi,40L Tfsi,https://www.carwale.com/audi-cars/rs-q8-2020-2025/40l-tfsi/
audi,Audi,q8-2020-2024,Q8 2020 2024,celebration,Celebration,https://www.carwale.com/audi-cars/q8-2020-2024/celebration/
audi,Audi,q8-2020-2024,Q8 2020 2024,limited-edition,Limited Edition,https://www.carwale.com/audi-cars/q8-2020-2024/limited-edition/
audi,Audi,q8-2020-2024,Q8 2020 2024,55-tfsi-quattro,55 Tfsi Quattro,https://www.carwale.com/audi-cars/q8-2020-2024/55-tfsi-quattro/
audi,Audi,s4-2012-2016,S4 2012 2016,s4-30-tfsi-quattro,S4 30 Tfsi Quattro,https://www.carwale.com/audi-cars/s4-2012-2016/s4-30-tfsi-quattro/
audi,Audi,s4-2012-2016,S4 2012 2016,s4-30-tfsi-quattro-technology-pack,S4 30 Tfsi Quattro Technology Pack,https://www.carwale.com/audi-cars/s4-2012-2016/s4-30-tfsi-quattro-technology-pack/
audi,Audi,s4-2012-2016,S4 2012 2016,s430tfsiquattro,S430Tfsiquattro,https://www.carwale.com/audi-cars/s4-2012-2016/s430tfsiquattro/
audi,Audi,a8-l-2020-2022,A8 L 2020 2022,55-tfsi-quattro,55 Tfsi Quattro,https://www.carwale.com/audi-cars/a8-l-2020-2022/55-tfsi-quattro/
audi,Audi,rs7-sportback,Rs7 Sportback,40l-tfsi,40L Tfsi,https://www.carwale.com/audi-cars/rs7-sportback/40l-tfsi/
audi,Audi,q5-2018-2020,Q5 2018 2020,40-tdi-premium-plus,40 Tdi Premium Plus,https://www.carwale.com/audi-cars/q5-2018-2020/40-tdi-premium-plus/
audi,Audi,q5-2018-2020,Q5 2018 2020,45-tfsi-premium-plus,45 Tfsi Premium Plus,https://www.carwale.com/audi-cars/q5-2018-2020/45-tfsi-premium-plus/
audi,Audi,q5-2018-2020,Q5 2018 2020,35-tdi-premium-plus,35 Tdi Premium Plus,https://www.carwale.com/audi-cars/q5-2018-2020/35-tdi-premium-plus/
audi,Audi,q5-2018-2020,Q5 2018 2020,35-tdi-technology,35 Tdi Technology,https://www.carwale.com/audi-cars/q5-2018-2020/35-tdi-technology/
audi,Audi,q5-2018-2020,Q5 2018 2020,40-tdi-technology,40 Tdi Technology,https://www.carwale.com/audi-cars/q5-2018-2020/40-tdi-technology/
audi,Audi,q5-2018-2020,Q5 2018 2020,45-tfsi-technology,45 Tfsi Technology,https://www.carwale.com/audi-cars/q5-2018-2020/45-tfsi-technology/
audi,Audi,rs5-2018-2020,Rs5 2018 2020,coupe,Coupe,https://www.carwale.com/audi-cars/rs5-2018-2020/coupe/
audi,Audi,a5-cabriolet,A5 Cabriolet,20-tdi,20 Tdi,https://www.carwale.com/audi-cars/a5-cabriolet/20-tdi/
audi,Audi,a5,A5,sportback-35-tdi,Sportback 35 Tdi,https://www.carwale.com/audi-cars/a5/sportback-35-tdi/
audi,Audi,a5,A5,sportback-40-tdi,Sportback 40 Tdi,https://www.carwale.com/audi-cars/a5/sportback-40-tdi/
audi,Audi,a5,A5,s5,S5,https://www.carwale.com/audi-cars/a5/s5/
audi,Audi,new-a3,New A3,technology-35-tfsi,Technology 35 Tfsi,https://www.carwale.com/audi-cars/new-a3/technology-35-tfsi/
audi,Audi,new-a3,New A3,standard-35-tfsi,Standard 35 Tfsi,https://www.carwale.com/audi-cars/new-a3/standard-35-tfsi/
audi,Audi,new-a3,New A3,premium-35-tfsi,Premium 35 Tfsi,https://www.carwale.com/audi-cars/new-a3/premium-35-tfsi/
audi,Audi,new-a3,New A3,premium-plus-35-tfsi,Premium Plus 35 Tfsi,https://www.carwale.com/audi-cars/new-a3/premium-plus-35-tfsi/
audi,Audi,q3-2017-2020,Q3 2017 2020,30-tfsi-premium,30 Tfsi Premium,https://www.carwale.com/audi-cars/q3-2017-2020/30-tfsi-premium/
audi,Audi,q3-2017-2020,Q3 2017 2020,30-tdi-premium-fwd,30 Tdi Premium Fwd,https://www.carwale.com/audi-cars/q3-2017-2020/30-tdi-premium-fwd/
audi,Audi,q3-2017-2020,Q3 2017 2020,35-tdi-quattro-premium-plus,35 Tdi Quattro Premium Plus,https://www.carwale.com/audi-cars/q3-2017-2020/35-tdi-quattro-premium-plus/
audi,Audi,q3-2017-2020,Q3 2017 2020,35-tdi-quattro-technology,35 Tdi Quattro Technology,https://www.carwale.com/audi-cars/q3-2017-2020/35-tdi-quattro-technology/
audi,Audi,q7-2022-2024,Q7 2022 2024,limited-edition,Limited Edition,https://www.carwale.com/audi-cars/q7-2022-2024/limited-edition/
audi,Audi,q7-2022-2024,Q7 2022 2024,premium-plus-55-tfsi-2022-2024,Premium Plus 55 Tfsi 2022 2024,https://www.carwale.com/audi-cars/q7-2022-2024/premium-plus-55-tfsi-2022-2024/
audi,Audi,q7-2022-2024,Q7 2022 2024,premium-plus-55-tfsi,Premium Plus 55 Tfsi,https://www.carwale.com/audi-cars/q7-2022-2024/premium-plus-55-tfsi/
audi,Audi,q7-2022-2024,Q7 2022 2024,technology-55-tfsi-wo-matrix,Technology 55 Tfsi Wo Matrix,https://www.carwale.com/audi-cars/q7-2022-2024/technology-55-tfsi-wo-matrix/
audi,Audi,q7-2022-2024,Q7 2022 2024,technology-55-tfsi-2022-2023,Technology 55 Tfsi 2022 2023,https://www.carwale.com/audi-cars/q7-2022-2024/technology-55-tfsi-2022-2023/
